heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2012-198,Nyatoh Puteh,Palaquium obovatum var. obovatum (Griff.) Engl.,"Singapore Botanic Gardens, behind Raffles Building",https://heritagetrees.nparks.gov.sg/ht-2012-198/,103.8177569004346,1.3165825500500226
HT 2012-201,Mountain Teak,Podocarpus neriifolius D. Don,"Singapore Botanic Gardens, Lawn B",https://heritagetrees.nparks.gov.sg/ht-2012-201/,103.81678700011673,1.3075574102352676
HT 2013-210,Mentulang Daun Lebar,Alangium ridleyi King,Singapore Botanic Gardens Lawn H,https://heritagetrees.nparks.gov.sg/ht-2013-210/,103.81533369980711,1.309339220195207
HT 2013-211,Chinese Laurel,Antidesma bunius,Singapore Botanic Gardens Lawn H,https://heritagetrees.nparks.gov.sg/ht-2013-211/,103.81564499999521,1.3096052195940322
HT 2013-213,Sausage Tree,Kigelia africana (Lam.) Benth.,"Singapore Botanic Gardens, Lawn H",https://heritagetrees.nparks.gov.sg/ht-2013-213/,103.81589410028127,1.3095745995620947
HT 2013-214,Monkey Pot Tree,Lecythis pisonis Cambess,"Singapore Botanic Gardens, Lawn H",https://heritagetrees.nparks.gov.sg/ht-2013-214/,103.81557509987493,1.3101505699950615
HT 2013-215,Monkey Pot Tree,Lecythis pisonis Cambess,"Singapore Botanic Gardens, Lawn H (with signboard)",https://heritagetrees.nparks.gov.sg/ht-2013-215/,103.81561530013687,1.310008800264483
HT 2013-218,Temak,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,"Singapore Botanic Gardens, Lawn B",https://heritagetrees.nparks.gov.sg/ht-2013-218/,103.81760839955957,1.307093739619004
HT 2013-219,Snake Tree,Stereospermum fimbriatum,"Singapore Botanic Gardens, Lawn B",https://heritagetrees.nparks.gov.sg/ht-2013-219/,103.81713489989806,1.3071212102862144
HT 2015-236,Kapok Tree,Ceiba pentandra (L.) Gaertn.,Fort Canning Park,https://heritagetrees.nparks.gov.sg/ht-2015-236/,103.84577389041614,1.2939673049455178
HT 2014-232,Kepayang,Pangium edule,"Singapore Botanic Gardens, Lawn H",https://heritagetrees.nparks.gov.sg/ht-2014-232/,103.8157571000797,1.3098797701331744
HT 2014-230,Cannon Ball Tree,Couroupita guianensis Aubl.,"Singapore Botanic Gardens, Ginger Gardens, behind waterfall",https://heritagetrees.nparks.gov.sg/ht-2014-230/,103.81541689956275,1.3110432202121434
HT 2014-229,Giant Cola,Cola gigantea A.Chev.,"Singapore Botanic Gardens, Orchid Plaza",https://heritagetrees.nparks.gov.sg/ht-2014-229/,103.81524200021961,1.311598999875466
HT 2003-88,Binjai,Mangifera caesia Jack,"Jalan Naung, behind House No. 70",https://heritagetrees.nparks.gov.sg/ht-2003-88/,103.89224975187625,1.369237696118561
HT 2015-240,Pauh Damar,Mangifera pentandra Hook.f.,"Singapore Botanic Gardens, Lawn F",https://heritagetrees.nparks.gov.sg/ht-2015-240/,103.81575689970828,1.3097500996095264
